choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
80%,Madécasse,3.5,Madagascar,80.0,Blend,Madagascar,Twang,41.0,46.0,89.0,39.0,76.0,77.0,64.0,61.0,80.0,72.0,82.0,82.7,89.8,88.0
85%,Amma,4.5,Brazil,85.0,Parasinho,Brazil,Twang,57.0,29.0,90.0,62.0,68.0,86.0,71.0,93.0,82.0,88.0,87.0,80.7,92.6,94.0
75%,Amma,4.0,Brazil,75.0,Parasinho,Brazil,Naked,79.0,41.0,26.0,32.0,70.0,63.0,76.0,81.0,84.0,74.0,88.0,77.3,90.2,89.5
60%,Amma,2.0,Brazil,60.0,Parasinho,Brazil,Sugar,64.0,68.0,21.0,8.0,70.0,56.0,52.0,24.0,51.0,72.0,84.0,60.7,75.2,62.0
Haselnuss,Zotter,4.5,Austria,35.0,,Nicaragua,Crossover,34.0,79.0,36.0,23.0,65.0,66.0,79.0,84.0,31.0,76.0,87.0,82.7,95.4,94.5
Heritage 75%,El Ceibo,3.5,Bolivia,75.0,Beniano,Bolivia,Crossover,43.0,38.0,51.0,46.0,57.0,76.0,54.0,51.0,76.0,90.0,78.0,76.0,88.4,80.5
Dark-Milk Coffee,El Ceibo,5.0,Bolivia,60.0,Beniano,Bolivia,Crossover,55.0,61.0,47.0,29.0,64.0,58.0,89.0,81.0,92.0,86.0,96.0,96.0,97.4,92.0
Blanco con Fresa,Blanxart,4.0,Spain,,,,Fruits,76.0,91.0,55.0,3.0,66.0,80.0,76.0,76.0,71.0,98.0,86.0,85.3,90.4,90.5
72%,Cacao Prieto,3.0,USA,72.0,Blend,Dominican Republic,Crossover,56.0,48.0,53.0,54.0,34.0,72.0,76.0,39.0,71.0,92.0,91.0,85.3,78.4,74.5
66%,Cacao Prieto,3.0,USA,66.0,Blend,Dominican Republic,Spices,51.0,54.0,31.0,17.0,50.0,54.0,59.0,63.0,68.0,92.0,88.0,77.3,83.8,84.0
Pop Rocks 66,Cacao Prieto,4.0,USA,66.0,Blend,Dominican Republic,Fruits,39.0,77.0,44.0,15.0,50.0,62.0,56.0,48.0,59.0,90.0,83.0,88.0,89.2,86.5
